Key,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
U1Grenade,Ultimate Tier 1 Grenade,Ultimative Stufe 1 Granate,Granada Suprema Nivel 1,Grenade Ultime Niveau 1,Granata Suprema Livello 1,アルティメット ティア1 グレネード,얼티밋 티어 1 수류탄,Granat Najwyższego Poziomu 1,Granada Suprema Nível 1,Граната Высшего Уровня 1,Ultimate Tier 1 El Bombası,终极 1 级手榴弹,終極 1 級手榴彈
U2Grenade,Ultimate Tier 2 Grenade,Ultimative Stufe 2 Granate,Granada Suprema Nivel 2,Grenade Ultime Niveau 2,Granata Suprema Livello 2,アルティメット ティア2 グレネード,얼티밋 티어 2 수류탄,Granat Najwyższego Poziomu 2,Granada Suprema Nível 2,Граната Высшего Уровня 2,Ultimate Tier 2 El Bombası,终极 2 级手榴弹,終極 2 級手榴彈
U3Grenade,Ultimate Tier 3 Grenade,Ultimative Stufe 3 Granate,Granada Suprema Nivel 3,Grenade Ultime Niveau 3,Granata Suprema Livello 3,アルティメット ティア3 グレネード,얼티밋 티어 3 수류탄,Granat Najwyższego Poziomu 3,Granada Suprema Nível 3,Граната Высшего Уровня 3,Ultimate Tier 3 El Bombası,终极 3 级手榴弹,終極 3 級手榴彈
U4Grenade,Ultimate Tier 4 Grenade,Ultimative Stufe 4 Granate,Granada Suprema Nivel 4,Grenade Ultime Niveau 4,Granata Suprema Livello 4,アルティメット ティア4 グレネード,얼티밋 티어 4 수류탄,Granat Najwyższego Poziomu 4,Granada Suprema Nível 4,Граната Высшего Уровня 4,Ultimate Tier 4 El Bombası,终极 4 级手榴弹,終極 4 級手榴彈
U5Grenade,Ultimate Tier 5 Grenade,Ultimative Stufe 5 Granate,Granada Suprema Nivel 5,Grenade Ultime Niveau 5,Granata Suprema Livello 5,アルティメット ティア5 グレネード,얼티밋 티어 5 수류탄,Granat Najwyższego Poziomu 5,Granada Suprema Nível 5,Граната Высшего Уровня 5,Ultimate Tier 5 El Bombası,终极 5 级手榴弹,終極 5 級手榴彈
U1GrenadeContact,Ultimate Tier 1 Contact Grenade,Ultimative Stufe 1 Kontaktgranate,Granada de Contacto Suprema Nivel 1,Grenade à Contact Ultime Niveau 1,Granata a Contatto Suprema Livello 1,アルティメット ティア1 接触グレネード,얼티밋 티어 1 접촉 수류탄,Granat Kontaktowy Najwyższego Poziomu 1,Granada de Contato Suprema Nível 1,Контактная Граната Высшего Уровня 1,Ultimate Tier 1 Temasta Patlayan Bomba,终极 1 级接触手榴弹,終極 1 級接觸手榴彈
U2GrenadeContact,Ultimate Tier 2 Contact Grenade,Ultimative Stufe 2 Kontaktgranate,Granada de Contacto Suprema Nivel 2,Grenade à Contact Ultime Niveau 2,Granata a Contatto Suprema Livello 2,アルティメット ティア2 接触グレネード,얼티밋 티어 2 접촉 수류탄,Granat Kontaktowy Najwyższego Poziomu 2,Granada de Contato Suprema Nível 2,Контактная Граната Высшего Уровня 2,Ultimate Tier 2 Temasta Patlayan Bomba,终极 2 级接触手榴弹,終極 2 級接觸手榴彈
U3GrenadeContact,Ultimate Tier 3 Contact Grenade,Ultimative Stufe 3 Kontaktgranate,Granada de Contacto Suprema Nivel 3,Grenade à Contact Ultime Niveau 3,Granata a Contatto Suprema Livello 3,アルティメット ティア3 接触グレネード,얼티밋 티어 3 접촉 수류탄,Granat Kontaktowy Najwyższego Poziomu 3,Granada de Contato Suprema Nível 3,Контактная Граната Высшего Уровня 3,Ultimate Tier 3 Temasta Patlayan Bomba,终极 3 级接触手榴弹,終極 3 級接觸手榴彈
U4GrenadeContact,Ultimate Tier 4 Contact Grenade,Ultimative Stufe 4 Kontaktgranate,Granada de Contacto Suprema Nivel 4,Grenade à Contact Ultime Niveau 4,Granata a Contatto Suprema Livello 4,アルティメット ティア4 接触グレネード,얼티밋 티어 4 접촉 수류탄,Granat Kontaktowy Najwyższego Poziomu 4,Granada de Contato Suprema Nível 4,Контактная Граната Высшего Уровня 4,Ultimate Tier 4 Temasta Patlayan Bomba,终极 4 级接触手榴弹,終極 4 級接觸手榴彈
U5GrenadeContact,Ultimate Tier 5 Contact Grenade,Ultimative Stufe 5 Kontaktgranate,Granada de Contacto Suprema Nivel 5,Grenade à Contact Ultime Niveau 5,Granata a Contatto Suprema Livello 5,アルティメット ティア5 接触グレネード,얼티밋 티어 5 접촉 수류탄,Granat Kontaktowy Najwyższego Poziomu 5,Granada de Contato Suprema Nível 5,Контактная Граната Высшего Уровня 5,Ultimate Tier 5 Temasta Patlayan Bomba,终极 5 级接触手榴弹,終極 5 級接觸手榴彈
U1TimedCharge,Ultimate Tier 1 Timed Charge,Ultimative Stufe 1 Zeitladung,Carga Temporizada Suprema Nivel 1,Charge Chronométrée Ultime Niveau 1,Carica a Tempo Suprema Livello 1,アルティメット ティア1 時限爆弾,얼티밋 티어 1 시한 폭탄,Ładunek Czasowy Najwyższego Poziomu 1,Carga Temporizada Suprema Nível 1,Заряд с Таймером Высшего Уровня 1,Ultimate Tier 1 Saatli Bomba,终极 1 级定时炸药,終極 1 級定時炸藥
U2TimedCharge,Ultimate Tier 2 Timed Charge,Ultimative Stufe 2 Zeitladung,Carga Temporizada Suprema Nivel 2,Charge Chronométrée Ultime Niveau 2,Carica a Tempo Suprema Livello 2,アルティメット ティア2 時限爆弾,얼티밋 티어 2 시한 폭탄,Ładunek Czasowy Najwyższego Poziomu 2,Carga Temporizada Suprema Nível 2,Заряд с Таймером Высшего Уровня 2,Ultimate Tier 2 Saatli Bomba,终极 2 级定时炸药,終極 2 級定時炸藥
U3TimedCharge,Ultimate Tier 3 Timed Charge,Ultimative Stufe 3 Zeitladung,Carga Temporizada Suprema Nivel 3,Charge Chronométrée Ultime Niveau 3,Carica a Tempo Suprema Livello 3,アルティメット ティア3 時限爆弾,얼티밋 티어 3 시한 폭탄,Ładunek Czasowy Najwyższego Poziomu 3,Carga Temporizada Suprema Nível 3,Заряд с Таймером Высшего Уровня 3,Ultimate Tier 3 Saatli Bomba,终极 3 级定时炸药,終極 3 級定時炸藥
U4TimedCharge,Ultimate Tier 4 Timed Charge,Ultimative Stufe 4 Zeitladung,Carga Temporizada Suprema Nivel 4,Charge Chronométrée Ultime Niveau 4,Carica a Tempo Suprema Livello 4,アルティメット ティア4 時限爆弾,얼티밋 티어 4 시한 폭탄,Ładunek Czasowy Najwyższego Poziomu 4,Carga Temporizada Suprema Nível 4,Заряд с Таймером Высшего Уровня 4,Ultimate Tier 4 Saatli Bomba,终极 4 级定时炸药,終極 4 級定時炸藥
U5TimedCharge,Ultimate Tier 5 Timed Charge,Ultimative Stufe 5 Zeitladung,Carga Temporizada Suprema Nivel 5,Charge Chronométrée Ultime Niveau 5,Carica a Tempo Suprema Livello 5,アルティメット ティア5 時限爆弾,얼티밋 티어 5 시한 폭탄,Ładunek Czasowy Najwyższego Poziomu 5,Carga Temporizada Suprema Nível 5,Заряд с Таймером Высшего Уровня 5,Ultimate Tier 5 Saatli Bomba,终极 5 级定时炸药,終極 5 級定時炸藥
